count_read_event,count_write_event,count_sensitive_file_access_fails,count_socket_connect_event_successfully,count_socket_connect_event_fails,count_socket_create_event,count_file_modification_event_successfully,count_file_modification_event_fails,count_file_creation_event,count_link_event,count_symlink_event,count_dir_creation_event,count_dir_remove_event,count_mknod_create_event,count_rename_event,count_auth_event_successfully,count_auth_event_fails,count_passwd_change_event_successfully,count_passwd_change_event_fails,count_user_change_event_successfully,count_user_change_event_fails,count_do_not_update_atime,count_was_modified_time_changed,count_owner_changed,count_group_changed,count_suid_set,count_suid_cleared,count_sgid_set,count_sgid_cleared,count_sticky_set,count_sticky_cleared,count_user_write_added,count_user_write_removed,count_user_read_added,count_user_read_removed,count_user_exec_added,count_user_exec_removed,count_group_write_added,count_group_write_removed,count_group_exec_added,count_group_exec_removed,count_world_write_been_added,count_world_read_been_added,count_world_exec_been_added,count_external_ip,is_priviliged_port,count_sensitive_file,count_is_linked_to_sensitive_file,count_linked_file_SGID_or_SUID,count_atime_flag_been_set,count_modified_time_been_changed,is_current_dir_world_writable,is_target_dir_world_writable,is_in_memory_path,is_cross_user_link,is_dev_backdoor,is_fake_device,risk_score,argv_has_network,argv_is_ip,argv_has_encoding,argv_is_net_tool,argv_is_sudo,argv_entropy,label,chain_auditd,chain_auth,chain_bash_history,chain_log,chain_log_wiper,chain_polkitd,chain_rm,chain_root,chain_rsyslog,chain_sh,chain_start,chain_stop,chain_sudo,chain_syslog,chain_systemctl,chain_truncate,chain_var
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0676586484738148,,,,,,,suspicious,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,2,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,5,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,1,0,4.172602678439125,0.0,0.0,0.0,0.0,0.0,2.768209997399028,suspicious,0.14882557651498074,0.14882557651498074,0.16556210109753336,0.3757103099548885,0.18915090762755127,0.0,0.16556210109753336,0.16556210109753336,0.2504735399699257,0.18915090762755127,0.14882557651498074,0.2504735399699257,0.5094686332343541,0.14882557651498074,0.32550073620723075,0.2504735399699257,0.2504735399699257
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2.9827321839430088,0.0,0.0,0.0,0.0,0.0,2.483361862668501,suspicious,0.5313660393500693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4471446911627236,0.6063346909272275,0.0,0.38738869365095946,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.8345059306482396,0.0,0.0,0.0,0.0,0.0,2.5240789984353253,suspicious,0.6682088179120378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5622979328580001,0.0,0.0,0.4871529640351345,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,suspicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2.9821749453454003,0.0,0.0,0.0,0.0,0.0,2.461366338421987,suspicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46679274356750744,0.0,0.0,0.46679274356750744,0.6329777351534668,0.0,0.40441099874437914,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.8257536858572527,0.0,0.0,0.0,0.0,0.0,2.414943480308155,suspicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6029589681662944,0.0,0.0,0.6029589681662944,0.0,0.0,0.5223800966879145,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,suspicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2.9880388878096937,0.0,0.0,0.0,0.0,0.0,2.693445304025204,suspicious,0.0,0.0,0.0,0.3999692889560678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5423641608467736,0.475304976520242,0.0,0.3999692889560678,0.3999692889560678
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.8481894086358115,0.0,0.0,0.0,0.0,0.0,2.6966298130371653,suspicious,0.0,0.0,0.0,0.47607258081396947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5657426034791613,0.0,0.47607258081396947,0.47607258081396947
