count_read_event,count_write_event,count_sensitive_file_access_fails,count_socket_connect_event_successfully,count_socket_connect_event_fails,count_socket_create_event,count_file_modification_event_successfully,count_file_modification_event_fails,count_file_creation_event,count_link_event,count_symlink_event,count_dir_creation_event,count_dir_remove_event,count_mknod_create_event,count_rename_event,count_auth_event_successfully,count_auth_event_fails,count_passwd_change_event_successfully,count_passwd_change_event_fails,count_user_change_event_successfully,count_user_change_event_fails,count_do_not_update_atime,count_was_modified_time_changed,count_owner_changed,count_group_changed,count_suid_set,count_suid_cleared,count_sgid_set,count_sgid_cleared,count_sticky_set,count_sticky_cleared,count_user_write_added,count_user_write_removed,count_user_read_added,count_user_read_removed,count_user_exec_added,count_user_exec_removed,count_group_write_added,count_group_write_removed,count_group_exec_added,count_group_exec_removed,count_world_write_been_added,count_world_read_been_added,count_world_exec_been_added,count_external_ip,is_priviliged_port,count_sensitive_file,count_is_linked_to_sensitive_file,count_linked_file_SGID_or_SUID,count_atime_flag_been_set,count_modified_time_been_changed,is_current_dir_world_writable,is_target_dir_world_writable,is_in_memory_path,is_cross_user_link,is_dev_backdoor,is_fake_device,argv_has_network,argv_is_ip,argv_has_encoding,argv_is_net_tool,argv_is_sudo,argv_entropy,risk_score,label,chain_10,chain_12,chain_192,chain_4444,chain_bin,chain_conf,chain_cp,chain_czvf,chain_etc,chain_file,chain_find,chain_gz,chain_gzip,chain_rf,chain_rm,chain_sh,chain_staging_area,chain_stolen_data,chain_tar,chain_tmp
5,0,0,9,0,9,0,0,8,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.275002231231548,4.415310300644525,suspicious,0.11240451219859887,0.11240451219859887,0.11240451219859887,0.11240451219859887,0.09929326174083233,0.11240451219859887,0.19858652348166467,0.11240451219859887,0.26737015737831,0.11240451219859887,0.11240451219859887,0.26737015737831,0.17824677158554003,0.11240451219859887,0.19858652348166467,0.19858652348166467,0.3689424992917501,0.26737015737831,0.35649354317108006,0.4986777798612371
1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.715914108131821,1.9998512493891167,suspicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7639052114483893,0.0,0.0,0.6453284651415834
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1015690258342747,1.8165796367589064,suspicious,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5370459813556336,1.8371347602507715,suspicious,0.0,0.0,0.0,0.0,0.0,0.6167835573860351,0.0,0.0,0.48903587463135584,0.0,0.6167835573860351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6893782580771077,1.864806863423716,suspicious,0.0,0.0,0.0,0.0,0.0,0.0,0.6028023698447698,0.0,0.5410617721945439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44796476419519615,0.0,0.0,0.3784296917774441
1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.716144676019379,1.8668781256365024,suspicious,0.0,0.0,0.0,0.0,0.0,0.0,0.6028023698447698,0.0,0.5410617721945439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44796476419519615,0.0,0.0,0.3784296917774441
1,0,0,4,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8924468557561345,3.625839101571225,suspicious,0.0,0.0,0.0,0.0,0.27250199423494953,0.0,0.0,0.3084847168690476,0.0,0.0,0.0,0.24459162621619618,0.48918325243239236,0.0,0.0,0.27250199423494953,0.20250632329400922,0.24459162621619618,0.48918325243239236,0.3421447918780625
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.403917277291339,2.3323340362494545,suspicious,0.0,0.0,0.0,0.0,0.43757995944975825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7855237476842414,0.0,0.0,0.43757995944975825,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.879964948727111,1.7817061829263552,suspicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.275002231231548,3.2243607994793075,suspicious,0.0,0.4018199052367883,0.4018199052367883,0.4018199052367883,0.0,0.0,0.0,0.0,0.0,0.4018199052367883,0.0,0.31859531021637194,0.0,0.0,0.0,0.0,0.0,0.31859531021637194,0.31859531021637194,0.2228320891307956
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6373274448756048,1.8592099531146649,suspicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.630092640800212,0.5565964593432715,0.0,0.4136274409899835,0.0,0.0,0.34942235978257996
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.796584127774965,1.85603108973324,suspicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4597795777222065,0.0,0.0,0.5122450583286069,0.0,0.0,0.4597795777222065,0.4597795777222065,0.3215792591985537
